Theta,Theta Dot
3.1416,2.5000
3.3484,2.5452
3.3637,2.7566
3.0980,2.9071
2.8927,2.6821
2.9803,2.5201
3.2061,2.5018
3.3808,2.5832
3.3133,2.8296
3.0170,2.8711
2.8905,2.6183
3.0349,2.5062
3.2658,2.5093
3.3945,2.6362
3.2427,2.8855
2.9521,2.8084
2.9106,2.5701
3.0965,2.5008
3.3179,2.5265
3.3849,2.7041
3.1586,2.9111
2.9087,2.7333
2.9475,2.5363
3.1615,2.5001
3.3599,2.5554
3.3507,2.7798
3.0721,2.8996
2.8895,2.6610
2.9961,2.5147
3.2250,2.5033
3.3872,2.5977
3.2937,2.8492
2.9952,2.8542
2.8945,2.6019
3.0531,2.5038
3.2826,2.5134
3.3942,2.6555
3.2181,2.8970
2.9364,2.7861
2.9203,2.5584
3.1162,2.5002
3.3320,2.5340
3.3771,2.7270
3.1319,2.9116
2.9002,2.7103
2.9613,2.5284
3.1813,2.5006
3.3701,2.5668
3.3356,2.8024
3.0471,2.8890
2.8885,2.6413
3.0127,2.5103
3.2433,2.5054
3.3918,2.6137
3.2723,2.8667
2.9751,2.8352
2.9004,2.5870
3.0719,2.5021
3.2986,2.5185
3.3916,2.6762
3.1924,2.9054
2.9228,2.7630
2.9315,2.5479
3.1361,2.5000
3.3450,2.5427
3.3669,2.7502
3.1053,2.9085
2.8940,2.6880
2.9761,2.5217
3.2008,2.5015
3.3787,2.5795
3.3184,2.8239
3.0233,2.8754
2.8898,2.6231
3.0301,2.5069
3.2610,2.5084
3.3942,2.6311
3.2493,2.8818
2.9568,2.8144
2.9082,2.5736
3.0911,2.5010
3.3139,2.5246
3.3867,2.6980
3.1660,2.9103
2.9114,2.7397
2.9439,2.5386
3.1561,2.5001
3.3569,2.5525
3.3545,2.7735
3.0791,2.9020
2.8901,2.6667
2.9917,2.5161
3.2198,2.5028
3.3857,2.5936
3.2993,2.8440
3.0010,2.8591
2.8932,2.6063
3.0481,2.5044
3.2781,2.5122
3.3945,2.6501
3.2250,2.8942
2.9405,2.7923
2.9175,2.5615
3.1108,2.5004
3.3282,2.5318
3.3794,2.7206
3.1392,2.9118
2.9023,2.7166
2.9574,2.5305
3.1759,2.5004
3.3674,2.5635
3.3400,2.7963
3.0538,2.8922
2.8886,2.6466
3.0081,2.5114
3.2383,2.5048
3.3907,2.6091
3.2783,2.8622
2.9804,2.8406
2.8986,2.5910
3.0667,2.5025
3.2943,2.5170
3.3925,2.6704
3.1995,2.9034
2.9263,2.7694
2.9283,2.5507
3.1306,2.5000
3.3415,2.5402
3.3699,2.7438
3.1125,2.9097
2.8955,2.6941
2.9719,2.5234
3.1955,2.5012
3.3765,2.5759
3.3233,2.8181
3.0297,2.8794
2.8892,2.6279
3.0252,2.5078
3.2562,2.5075
3.3938,2.6262
3.2558,2.8780
2.9616,2.8202
2.9059,2.5771
3.0858,2.5013
3.3098,2.5228
3.3883,2.6919
3.1733,2.9093
2.9143,2.7461
2.9404,2.5410
3.1506,2.5000
3.3537,2.5497
3.3581,2.7671
3.0862,2.9041
2.8910,2.6724
2.9873,2.5175
3.2146,2.5024
3.3839,2.5896
3.3047,2.8387
3.0070,2.8638
2.8921,2.6107
3.0431,2.5050
3.2735,2.5110
3.3947,2.6447
3.2318,2.8911
2.9448,2.7985
2.9148,2.5647
3.1054,2.5005
3.3244,2.5297
3.3817,2.7144
3.1466,2.9117
2.9046,2.7229
2.9536,2.5326
3.1705,2.5003
3.3647,2.5604
3.3442,2.7901
3.0607,2.8952
2.8888,2.6520
3.0035,2.5126
3.2333,2.5042
3.3895,2.6047
3.2843,2.8574
2.9859,2.8459
2.8969,2.5950
3.0615,2.5030
3.2899,2.5156
3.3933,2.6647
3.2066,2.9012
2.9300,2.7757
2.9252,2.5535
3.1252,2.5001
3.3380,2.5378
3.3728,2.7374
3.1198,2.9106
2.8971,2.7002
2.9679,2.5253
3.1901,2.5009
3.3742,2.5723
3.3281,2.8123
3.0362,2.8832
2.8888,2.6329
3.0205,2.5087
3.2514,2.5066
3.3931,2.6213
3.2621,2.8739
2.9666,2.8260
2.9037,2.5808
3.0805,2.5016
3.3056,2.5211
3.3897,2.6859
3.1805,2.9080
2.9174,2.7525
2.9370,2.5436
3.1451,2.5000
3.3505,2.5469
3.3616,2.7607
3.0934,2.9060
2.8920,2.6783
2.9830,2.5190
3.2094,2.5020
3.3821,2.5856
3.3100,2.8332
3.0131,2.8683
2.8911,2.6153
3.0381,2.5057
3.2688,2.5100
3.3946,2.6395
3.2385,2.8878
2.9492,2.8045
2.9122,2.5680
3.1000,2.5007
3.3205,2.5277
3.3837,2.7081
3.1539,2.9114
2.9070,2.7292
2.9499,2.5348
3.1650,2.5002
3.3618,2.5573
3.3482,2.7838
3.0676,2.8980
2.8891,2.6575
2.9990,2.5139
3.2282,2.5036
3.3882,2.6004
3.2901,2.8525
2.9915,2.8510
2.8954,2.5992
3.0564,2.5035
3.2855,2.5142
3.3939,2.6590
3.2136,2.8987
2.9338,2.7820
2.9222,2.5564
3.1197,2.5002
3.3343,2.5354
3.3754,2.7310
3.1272,2.9113
2.8989,2.7063
2.9639,2.5272
3.1848,2.5007
3.3717,2.5689
3.3327,2.8063
3.0428,2.8868
2.8886,2.6380
3.0157,2.5097
3.2465,2.5059
3.3924,2.6166
3.2684,2.8696
2.9717,2.8316
2.9017,2.5846
3.0752,2.5019
3.3014,2.5195
3.3909,2.6799
3.1878,2.9065
2.9206,2.7589
2.9336,2.5462
3.1396,2.5000
3.3472,2.5443
3.3649,2.7543
3.1006,2.9076
2.8931,2.6842
2.9788,2.5206
3.2042,2.5017
3.3801,2.5819
3.3152,2.8276
3.0193,2.8727
2.8902,2.6200
3.0332,2.5064
3.2641,2.5090
3.3945,2.6343
3.2451,2.8842
2.9538,2.8106
2.9097,2.5713
3.0946,2.5009
3.3165,2.5258
3.3856,2.7019
3.1613,2.9108
2.9096,2.7356
2.9462,2.5371
3.1596,2.5001
3.3588,2.5543
3.3521,2.7775
3.0746,2.9005
2.8897,2.6631
2.9945,2.5152
3.2231,2.5031
3.3867,2.5962
3.2957,2.8474
2.9973,2.8560
2.8940,2.6035
3.0513,2.5040
3.2810,2.5130
3.3943,2.6535
3.2205,2.8960
2.9379,2.7883
2.9193,2.5595
3.1143,2.5003
3.3306,2.5332
3.3779,2.7247
3.1345,2.9117
2.9009,2.7126
2.9599,2.5291
3.1794,2.5005
3.3692,2.5656
3.3372,2.8002
3.0495,2.8902
2.8885,2.6432
3.0110,2.5107
3.2415,2.5052
3.3914,2.6120
3.2745,2.8651
2.9769,2.8371
2.8998,2.5884
3.0700,2.5023
3.2971,2.5179
3.3920,2.6741
3.1949,2.9047
2.9241,2.7653
2.9304,2.5489
3.1341,2.5000
3.3438,2.5417
3.3680,2.7479
3.1079,2.9090
2.8945,2.6902
2.9746,2.5223
3.1989,2.5013
3.3780,2.5782
3.3202,2.8219
3.0256,2.8768
2.8896,2.6248
3.0283,2.5072
3.2593,2.5080
3.3941,2.6293
3.2516,2.8805
2.9585,2.8165
2.9073,2.5748
3.0892,2.5011
3.3124,2.5239
3.3873,2.6958
3.1686,2.9100
2.9124,2.7420
2.9427,2.5395
3.1541,2.5000
3.3558,2.5514
3.3558,2.7712
3.0817,2.9028
2.8904,2.6687
2.9901,2.5166
3.2180,2.5026
3.3851,2.5921
3.3013,2.8421
3.0031,2.8608
2.8928,2.6078
3.0463,2.5046
3.2764,2.5118
3.3946,2.6481
3.2274,2.8931
2.9420,2.7945
2.9165,2.5626
3.1088,2.5004
3.3268,2.5311
3.3803,2.7184
3.1419,2.9118
2.9031,2.7189
2.9561,2.5312
3.1740,2.5004
3.3665,2.5624
3.3415,2.7940
3.0563,2.8933
2.8886,2.6485
3.0064,2.5118
3.2365,2.5045
3.3903,2.6075
3.2805,2.8605
2.9824,2.8425
2.8980,2.5924
3.0648,2.5027
3.2928,2.5165
3.3929,2.6683
3.2021,2.9026
2.9276,2.7717
2.9272,2.5517
3.1287,2.5001
3.3403,2.5393
3.3710,2.7415
3.1152,2.9101
2.8960,2.6962
2.9705,2.5241
3.1936,2.5011
3.3757,2.5746
3.3251,2.8160
3.0320,2.8808
2.8891,2.6297
3.0235,2.5081
3.2545,2.5072
3.3936,2.6244
3.2581,2.8765
2.9634,2.8223
2.9051,2.5784
3.0839,2.5014
3.3083,2.5222
3.3888,2.6897
3.1759,2.9089
2.9154,2.7484
2.9392,2.5419
3.1486,2.5000
3.3526,2.5487
3.3594,2.7648
3.0888,2.9048
2.8913,2.6745
2.9857,2.5180
3.2128,2.5022
3.3833,2.5881
3.3066,2.8367
3.0092,2.8655
2.8917,2.6124
3.0413,2.5052
3.2718,2.5106
3.3947,2.6428
3.2342,2.8899
2.9463,2.8007
2.9138,2.5658
3.1034,2.5006
3.3230,2.5290
3.3824,2.7121
3.1492,2.9117
2.9054,2.7252
2.9523,2.5334
3.1685,2.5003
3.3637,2.5592
3.3456,2.7878
3.0632,2.8963
2.8889,2.6539
3.0019,2.5130
3.2315,2.5039
3.3891,2.6031
3.2864,2.8556
2.9879,2.8478
2.8964,2.5965
3.0597,2.5031
3.2883,2.5151
3.3936,2.6626
3.2091,2.9003
2.9314,2.7780
2.9241,2.5545
3.1232,2.5001
3.3367,2.5369
3.3738,2.7351
3.1225,2.9109
2.8977,2.7024
2.9664,2.5259
3.1882,2.5008
3.3733,2.5711
3.3298,2.8101
3.0386,2.8845
2.8887,2.6347
3.0187,2.5090
3.2496,2.5064
3.3929,2.6196
3.2644,2.8724
2.9684,2.8280
2.9029,2.5821
3.0786,2.5017
3.3041,2.5205
3.3902,2.6837
3.1831,2.9075
2.9185,2.7548
2.9357,2.5445
3.1431,2.5000
3.3493,2.5460
3.3628,2.7584
3.0960,2.9066
2.8924,2.6804
2.9815,2.5196
3.2075,2.5019
3.3814,2.5843
3.3119,2.8312
3.0153,2.8699
2.8907,2.6170
3.0363,2.5059
3.2671,2.5096
3.3946,2.6376
